nickname,review,star,product_name,price,discount_pct,review_count,view_count,sales_count
완소정선,"키170에 46키로 마른체형
길이는 m싸이즈가 좋았는데
허리때문에 s싸이즈로 교환했어요~",5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
안락한옐로우체크,"고등학생 좋아합니다..
면이 탄탄해서 덜 말라보여 좋아요",5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
안락한옐로우체크,"적당한 통에 마른 아이가 입어도 핏이 이뻐요
고딩이가 좋아함",5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
신비로운그린자켓,아들 옷 사러 그동안 왜 유니클로만 다녔나 싶네요. 기존에 입던 거에 비해 바지 핏이 훨씬 예쁘네요. 앞으로 무신사 옷으로 정착할 거 같아요. 건조기 돌렸지만 기장감 좋아서 슬리퍼 신으면 살짝 끌리는 감이 있고 허리 사이즈도 살짝 크다는데 그래서 더 좋다고 하네요. 바지통도 살짝 넉넉한 편이라 무릎 나오는 것도 없고 요즘 스타일이 적당히 녹여있는 기본템이에요.,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
김70,"스탠다드 핏으로 기장 수선없이 잘 맞습니다
기본 스웻팬츠로 충실하고 좋네요ㅖ",5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
masanob,"생각보다 기장이 기네요; 쿨럭
건조기 돌리면 줄어든다고 해서 건조기 기대해봅니다. 쿨럭",3.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
더뮤지엄비지터,기장이 조금 길기는한데 찾고있던 츄리닝이라 좋아요,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
쿄옹,가성비 좋은 바지 편하게 입기 좋아요 두번째 구매,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
속상한명동맨투맨,188에 90인데 XL사이즈 길이랑 허리가 조금 작아서 180에 75인 아들이 입으니 딱이네요..참고하세요.옷은 재질 디자인 무난하니 좋습니다,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
경표아빠,작년 아들에게 S사이즈를 입히고 1년만에 성장해서 M사이즈를 구매했습니다~~~,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
끝이에요?,핏도좋고 원단도 너무좋아요 182키에 기장도좋아요,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
종타이거,"배송빠르고 품질도 좋습니다!
색깔 별로 사놓는 편입니다!",5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
내일은그린골프공,넘 편하고 디자인도 맘에 들어서 2벌 구매하려고요 ㅎㅎ,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
심오한하얀머슬핏,사이즈도 딱 적당하고 편하게 입을수있어서 좋아요,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
유난히_,"편하게 입을수있어요
중학생인데 검덩색만 고집해서
검정색으로 모두 구매하니 좋아요",5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
김쟁전,기장감도 좋고 엄청 얇지도 않아서 지금 날씨에 입기 딱 좋아요,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
글로벌훈남,소재 탄탄하고 좋네요. 사이즈가 아쉬워 1업 추가 구매 합니다.,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
빵야빵야뿡뿡이,"굳 
가성비 굳이에요
생각보다 길기는 한데 제키에 딱이에요",5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
23611,엔간한 탑텐 스파오보다 좋은듯. 핏도 좋고 소재도 적당히 두툼,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
재미있는코랄양말,와이드보다 살짝 통이 작아서 활동성이 좋아요 굿굿,5.0,라운지 스웨트 팬츠 2팩,41790,34,56424,20000,600
